Filename,V,E,M,milliseconds,seconds
100000_2_WS.txt,100000,100000,46660,47.603000,0.047603
100000_2_WS.txt,100000,100000,46660,47.944000,0.047944
200000_2_WS.txt,200000,200000,93336,126.471000,0.126471
300000_2_WS.txt,300000,300000,139896,202.561000,0.202561
400000_2_WS.txt,400000,400000,186543,271.760000,0.271760
500000_2_WS.txt,500000,500000,233235,373.546000,0.373546
600000_2_WS.txt,600000,600000,279929,402.599000,0.402599
700000_2_WS.txt,700000,700000,326471,473.827000,0.473827
800000_2_WS.txt,800000,800000,373044,526.392000,0.526392
900000_2_WS.txt,900000,900000,419600,624.117000,0.624117
1000000_2_WS.txt,1000000,1000000,466278,671.728000,0.671728
1100000_2_WS.txt,1100000,1100000,513201,706.444000,0.706444
1200000_2_WS.txt,1200000,1200000,559555,844.636000,0.844636
1300000_2_WS.txt,1300000,1300000,606206,833.380000,0.833380
1400000_2_WS.txt,1400000,1400000,652799,940.376000,0.940376
1500000_2_WS.txt,1500000,1500000,699437,979.731000,0.979731
1600000_2_WS.txt,1600000,1600000,746097,1274.558000,1.274558
1700000_2_WS.txt,1700000,1700000,792669,1280.624000,1.280624
1800000_2_WS.txt,1800000,1800000,839517,1158.829000,1.158829
1900000_2_WS.txt,1900000,1900000,886165,1350.511000,1.350511
2000000_2_WS.txt,2000000,2000000,932565,1335.458000,1.335458
100000_3_WS.txt,100000,100000,46660,48.232000,0.048232
200000_3_WS.txt,200000,200000,93336,139.546000,0.139546
300000_3_WS.txt,300000,300000,139896,201.358000,0.201358
400000_3_WS.txt,400000,400000,186543,274.578000,0.274578
500000_3_WS.txt,500000,500000,233235,380.921000,0.380921
600000_3_WS.txt,600000,600000,279929,424.665000,0.424665
700000_3_WS.txt,700000,700000,326471,477.076000,0.477076
800000_3_WS.txt,800000,800000,373044,544.731000,0.544731
900000_3_WS.txt,900000,900000,419600,588.041000,0.588041
1000000_3_WS.txt,1000000,1000000,466278,646.341000,0.646341
1100000_3_WS.txt,1100000,1100000,513201,706.054000,0.706054
1200000_3_WS.txt,1200000,1200000,559555,819.740000,0.819740
1300000_3_WS.txt,1300000,1300000,606206,870.834000,0.870834
1400000_3_WS.txt,1400000,1400000,652799,951.466000,0.951466
1500000_3_WS.txt,1500000,1500000,699437,1145.527000,1.145527
1600000_3_WS.txt,1600000,1600000,746097,1150.364000,1.150364
1700000_3_WS.txt,1700000,1700000,792669,1090.074000,1.090074
1800000_3_WS.txt,1800000,1800000,839517,1159.904000,1.159904
1900000_3_WS.txt,1900000,1900000,886165,1211.187000,1.211187
2000000_3_WS.txt,2000000,2000000,932565,1548.726000,1.548726
100000_5_WS.txt,100000,200000,50000,171.549000,0.171549
200000_5_WS.txt,200000,400000,100000,298.757000,0.298757
300000_5_WS.txt,300000,600000,150000,439.697000,0.439697
400000_5_WS.txt,400000,800000,200000,832.339000,0.832339
500000_5_WS.txt,500000,1000000,250000,802.452000,0.802452
600000_5_WS.txt,600000,1200000,300000,1513.361000,1.513361
700000_5_WS.txt,700000,1400000,350000,1688.869000,1.688869
800000_5_WS.txt,800000,1600000,400000,2132.542000,2.132542
900000_5_WS.txt,900000,1800000,450000,1966.843000,1.966843
